,majaxis_pix,majaxis_H,sum_Qphi_H,sum_Uphi_H,f_H,majaxis_V,sum_Qphi_V,sum_Uphi_V,f_V,majaxis_I,sum_Qphi_I,sum_Uphi_I,f_I
85,89,1092.03,1019.7867443158763,0.0020345496519450015,1.0100150896656097,,,,,,,,
86,90,1104.3,1037.849399240711,0.004692504576359263,1.0097804178204615,,,,,,,,
87,91,1116.57,1067.790661752003,0.005555012969217946,1.0095611795585904,,,,,,,,
88,92,1128.84,1054.1699610856624,0.004225014142811511,1.0093249089589063,,,,,,,,
89,93,1141.11,1076.1894493309176,0.00301271160219236,1.0091160071074676,,,,,,,,
90,94,1153.3799999999999,1086.320740979916,0.006212035710424429,1.008910129996554,,,,,,,,
91,95,1165.6499999999999,1108.3463012672876,0.006536756192415841,1.0087100022093043,,,,,,,,
92,96,1177.92,1120.4515561035018,0.0057418584188465545,1.0085219604939495,,,,,,,,
93,97,1190.19,1114.6262571232744,0.008421885931749673,1.008409763198041,,,,,,,,
94,98,1202.46,1124.7620530043807,0.009411583722096396,1.0082132456113215,,,,,,,,
95,99,1214.73,1148.7611195453467,0.01361721862409329,1.0080424731456004,,,,,,,,
96,100,1227.0,1156.901176474875,0.011185517425244746,1.0078648234699263,,,,,,,,
97,101,1239.27,1151.14247161952,0.011010537511613865,1.0076945544090807,,,,,,,,
98,102,1251.54,1167.1913136957319,0.012619051889452679,1.0075469087208822,,,,,,,,
99,103,1263.81,1173.3426293353505,0.010005053090590582,1.0073783824504472,,,,,,,,
100,104,1276.08,1199.3131850108712,0.013728488296754692,1.0072431580822236,,,,,,,,
101,105,1288.35,1207.4458669346704,0.008405320057921736,1.0070844857724726,,,,,,,,
102,106,1300.62,1207.6028743867491,0.010801238879846251,1.0069535488788193,,,,,,,,
103,107,1312.8899999999999,1205.7166225690603,0.001915639954840075,1.0068700864497415,,,,,,,,
104,108,1325.1599999999999,1229.7099543473773,0.0029858280423335323,1.0067414642154557,,,,,,,,
105,109,1337.43,1237.822994645883,0.0011126623115101492,1.006605956901339,,,,,,,,
106,110,1349.7,1269.7566136346818,0.00019145389901168764,1.0064920995699496,,,,,,,,
107,111,1361.97,1265.9577182316991,0.0013596436820383572,1.0063527254129265,,,,,,,,
108,112,1374.24,1285.9768552270916,0.0055897945454136495,1.0062389495894088,,,,,,,,
109,113,1386.51,1290.1064536233366,0.004452235725030929,1.0061185232850312,,,,,,,,
110,114,1398.78,1294.227077364158,0.0012452384685913667,1.0060058414568736,,,,,,,,
111,115,1411.05,1330.147137252443,0.0009187353881289142,1.005903754951334,,,,,,,,
112,116,1423.32,1324.3368640324293,0.0008562200833866847,1.0057863948181867,,,,,,,,
113,117,1435.59,1368.2110702998043,0.0013651117102161088,1.0056927837153729,,,,,,,,
114,118,1447.86,1354.3724493475163,0.007421494121759244,1.0056317969670443,,,,,,,,
115,119,1460.1299999999999,1340.597310880031,0.0061511192925732105,1.005521933439587,,,,,,,,
116,120,1472.3999999999999,1366.5934534950527,0.004477312571250477,1.0054197146093486,,,,,,,,
117,121,1484.6699999999998,1390.5891020175434,0.004497060117577342,1.0053293226386604,,,,,,,,
118,122,1496.94,1410.6150336302978,0.0030437334183953967,1.005235281202623,,,,,,,,
119,123,1509.21,1416.6865950008234,0.003892810178083639,1.0051623309100148,,,,,,,,
120,124,1521.48,1408.8716942212316,0.006135438524797347,1.0050595847783774,,,,,,,,
121,125,1533.75,1440.8328788553401,0.006521057233626557,1.004974290391231,,,,,,,,
122,126,1546.02,1452.8935842999613,0.006467129174102942,1.004891215555517,,,,,,,,
123,127,1558.29,1460.971757324455,0.005887124898906041,1.0048106629305527,,,,,,,,
124,128,1570.56,1475.0086017033332,0.0037671044874441075,1.004739903407067,,,,,,,,
125,129,1582.83,1496.9775167628534,0.00766692031943698,1.0046911080216705,,,,,,,,
126,130,1595.1,1503.080437605746,0.00603294828245659,1.0046035875533554,,,,,,,,
